notebook,relative_path,size_bytes,sha256
00_setup_agelens.ipynb,notebooks\00_setup_agelens.ipynb,45291,ec86e2e60d6c8ee8cdf80a65d18d6e7b8bfdef325251c2023540ab3b31cc6db0
01_data_ingestion.ipynb,notebooks\01_data_ingestion.ipynb,78336,c9d3ad021a15a36a0aed2247b02f5a291f4b987ef119cf4dab7cd272bb241402
02_data_preprocessing.ipynb,notebooks\02_data_preprocessing.ipynb,83369,08801ab9a3e4e08a929aa342ede6ccea18d8c025cac578a6b51004bc1065fe5f
03_validation.ipynb,notebooks\03_validation.ipynb,115283,b703c42b749842b5f3e8602b66e30203ba7c449a7034484c282dc690e9a72247
04_external_validation.ipynb,notebooks\04_external_validation.ipynb,68046,54cbb55e7a1ef1478aabd361b0a68776508c8516e768599d8be36b76adea5579
05_validation_completion.ipynb,notebooks\05_validation_completion.ipynb,86338,dbb2ecbac734c008a0f5bd897d58e77d4344b409e6445a58a25bc45ee2373991
06_eg004_creatinine_sensitivity.ipynb,notebooks\06_eg004_creatinine_sensitivity.ipynb,78775,64ddea3f93da919cc6423ba80b62c7f25f98eb2f196874122670b9cbae6e2faf
07_governance_resolution.ipynb,notebooks\07_governance_resolution.ipynb,43364,c98a3088fc30891022583a875bd9f75d0d549c0be689eb4757d6f8b795f579b3
08_canonical_output_rebuild.ipynb,notebooks\08_canonical_output_rebuild.ipynb,86327,1534a2eecc4f97903c6474bd7cf561af48d0e49588502f7cbcc50ffd6622e1e8
09_mortality_analysis_authorization.ipynb,notebooks\09_mortality_analysis_authorization.ipynb,79217,b0c14e54e26b10ec63f3f57f5c5fdeb82e70941162adf59d18431088532cf9db
10_mortality_survival_analysis.ipynb,notebooks\10_mortality_survival_analysis.ipynb,128087,97c5824f4159436f427d8c99c1cbc0d496038e17183ce9d960326086928950b5
11_final_reporting_and_release_package.ipynb,notebooks\11_final_reporting_and_release_package.ipynb,160205,e18cdc54755451740b3d0d6eed41e894c863e094d6e0c7c04b9d34fa1729e709
11b_release_package_rebuild.ipynb,notebooks\11b_release_package_rebuild.ipynb,44519,055506fa1f1fe9880a4119f1a030a57e8e9ca18146fd1c75d0ac1a4ad4800285
