Characteristic,Overall,2015–2016,2017–2018
Unweighted n,"4,350","2,178","2,172"
"Chronological age, years",47.91 (17.09),47.73 (16.95),48.09 (17.23)
"Phenotypic Age, years",46.96 (19.62),46.47 (19.41),47.44 (19.83)
"Phenotypic Age acceleration, years",-0.00 (7.37),-0.00 (7.35),-0.00 (7.40)
"Female, %",51.3%,51.6%,51.0%
"Age top-coded at 80 years, %",4.0%,3.6%,4.4%
"Mexican American, %",9.1%,8.5%,9.7%
"Other Hispanic, %",6.6%,6.8%,6.5%
"Non-Hispanic White, %",63.0%,63.8%,62.3%
"Non-Hispanic Black, %",11.1%,11.0%,11.1%
"Non-Hispanic Asian, %",5.7%,5.9%,5.5%
"Other or multiracial, %",4.5%,4.0%,4.9%
