candidate,cycle,adult_canonical_n,valid_n,missing_n,valid_fraction,positive_n,weighted_prevalence,weighted_denominator,strata_with_valid_data,psus_with_valid_data,weighted_prevalence_percent
mobility_disability,2015_2016,2181,2181,0,1.0,332,0.11628807359751087,112813867.59946549,15,30,11.628807359751086
mobility_disability,2017_2018,2186,2185,1,0.9995425434583715,350,0.11904922375751129,114511828.54124549,15,30,11.904922375751129
mobility_disability,pooled,4367,4366,1,0.9997710098465766,682,0.11767896058946307,227325696.140711,30,60,11.767896058946308
any_disability_six,2015_2016,2181,2176,5,0.9977074736359468,595,0.22638251942133936,112663767.06848207,15,30,22.638251942133934
any_disability_six,2017_2018,2186,2182,4,0.9981701738334858,652,0.2627311886234533,114464345.9712835,15,30,26.273118862345328
any_disability_six,pooled,4367,4358,9,0.9979390886191893,1247,0.2447009327232544,227128113.03976557,30,60,24.470093272325443
fair_poor_general_health,2015_2016,2181,2017,164,0.9248051352590555,494,0.17467470321885264,104861334.62796858,15,30,17.467470321885266
fair_poor_general_health,2017_2018,2186,2059,127,0.9419030192131748,531,0.1915782621077229,110031380.4468985,15,30,19.157826210772292
fair_poor_general_health,pooled,4367,4076,291,0.9333638653537898,1025,0.18332982174327472,214892715.07486707,30,60,18.332982174327473
phq9_ge10,2015_2016,2181,1990,191,0.9124254928931683,156,0.06810803327412857,104062591.80896932,15,30,6.810803327412857
phq9_ge10,2017_2018,2186,2031,155,0.9290942360475755,189,0.08063255286245276,109163985.60248,15,30,8.063255286245276
phq9_ge10,pooled,4367,4021,346,0.9207694069155027,345,0.07452011610458902,213226577.4114493,30,60,7.452011610458902
