"check","pass","observed"
"Canonical private input contains 5,223 rows",TRUE,"5223"
"Primary domain contains 4,366 rows",TRUE,"4366"
"Primary positive count equals 682",TRUE,"682"
"Original primary linear PR reproduced",TRUE,"1.1475644343644"
"Modified-Poisson bound audit reconciles",TRUE,"6 | 20 | 12 | 2"
"Bounded curve stays within zero and one",TRUE,"0.0536101343661663 | 0.275634807036299"
"Curve confidence limits stay within zero and one",TRUE,"0.0274336089175563 | 0.337794892430974"
"Trimmed sensitivities are finite and positive",TRUE,"1.1475644343644 | 1.34238682520668 | 1.47433739693005"
"Local five-year ratios are finite and positive",TRUE,"1.61754431906336 | 1.81220405762853 | 1.58183543292791 | 1.28952354784501 | 1.16213276623718"
"Logistic spline nonlinearity p-value is valid",TRUE,"0.000916263045884809"
"No participant identifier is written publicly",TRUE,"aggregate outputs only"
"V1 remains unmodified",TRUE,"no V1 write operation"
"Explainable model remains unauthorized",TRUE,"not authorized"
