"check","pass","observed"
"Primary domain n equals 4,366",TRUE,"4366"
"Primary positive n equals 682",TRUE,"682"
"All four interaction models converged",TRUE,"TRUE"
"All interaction coefficients and covariance matrices are finite",TRUE,"TRUE"
"All global interaction p-values and BH q-values are valid",TRUE,"0.158774913369534/0.264238412058941 | 0.198178809044206/0.264238412058941 | 0.000255872749735952/0.00102349099894381 | 0.435892984996182/0.435892984996182"
"Every prespecified transportability level is present",TRUE,"13"
"Both cross-cycle directions are present",TRUE,"2"
"All prediction models converged with finite coefficients",TRUE,"TRUE"
"Bootstrap replicate count equals 500",TRUE,"500"
"No bootstrap replicate failed",TRUE,"0"
"All bootstrap estimates and intervals are finite",TRUE,"TRUE"
"Brier and AUC point estimates are within valid ranges",TRUE,"brier_b 0.093702994202768 | brier_c 0.0906690780097635 | auc_b 0.751036420877841 | auc_c 0.785087466762358"
"No participant-level public output was written",TRUE,"aggregate tables and figures only"
"V1 remains unmodified",TRUE,"no V1 write operation"
"Explainable modeling remains unauthorized",TRUE,"not authorized"
