direction,train_cycle,chronological_age_years,term_score_log_odds,training_bin_unweighted_n,display_eligible
train_2015_2016_test_2017_2018,2015_2016,20.0,-1.313201801451922,95,True
train_2015_2016_test_2017_2018,2015_2016,20.5,-1.313201801451922,95,True
train_2015_2016_test_2017_2018,2015_2016,21.0,-1.313201801451922,95,True
train_2015_2016_test_2017_2018,2015_2016,21.5,-1.313201801451922,95,True
train_2015_2016_test_2017_2018,2015_2016,22.0,-1.313201801451922,95,True
train_2015_2016_test_2017_2018,2015_2016,22.5,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,23.0,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,23.5,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,24.0,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,24.5,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,25.0,-1.2916257984337214,105,True
train_2015_2016_test_2017_2018,2015_2016,25.5,-1.256859300094033,74,True
train_2015_2016_test_2017_2018,2015_2016,26.0,-1.256859300094033,74,True
train_2015_2016_test_2017_2018,2015_2016,26.5,-1.256859300094033,74,True
train_2015_2016_test_2017_2018,2015_2016,27.0,-1.256859300094033,74,True
train_2015_2016_test_2017_2018,2015_2016,27.5,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,28.0,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,28.5,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,29.0,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,29.5,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,30.0,-1.2253003510461336,101,True
train_2015_2016_test_2017_2018,2015_2016,30.5,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,31.0,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,31.5,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,32.0,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,32.5,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,33.0,-1.189070885312139,96,True
train_2015_2016_test_2017_2018,2015_2016,33.5,-0.6113208401257213,86,True
train_2015_2016_test_2017_2018,2015_2016,34.0,-0.6113208401257213,86,True
train_2015_2016_test_2017_2018,2015_2016,34.5,-0.6113208401257213,86,True
train_2015_2016_test_2017_2018,2015_2016,35.0,-0.6113208401257213,86,True
train_2015_2016_test_2017_2018,2015_2016,35.5,-0.5735738540061752,74,True
train_2015_2016_test_2017_2018,2015_2016,36.0,-0.5735738540061752,74,True
train_2015_2016_test_2017_2018,2015_2016,36.5,-0.5735738540061752,74,True
train_2015_2016_test_2017_2018,2015_2016,37.0,-0.5735738540061752,74,True
train_2015_2016_test_2017_2018,2015_2016,37.5,-0.5499683759288704,64,True
train_2015_2016_test_2017_2018,2015_2016,38.0,-0.5499683759288704,64,True
train_2015_2016_test_2017_2018,2015_2016,38.5,-0.5499683759288704,64,True
