metric,estimate,standard_error,ci_low_95,ci_high_95,design_df,replicate_n,failed_replicate_n
brier_c,0.0906690779935553,0.005620605508501251,0.07919027017580818,0.10214788581130241,30,500,0
brier_d,0.08969875306252055,0.005943731355014149,0.07756003422852112,0.10183747189651998,30,500,0
brier_delta_d_minus_c,-0.0009703249310347439,0.001039276046399689,-0.003092809775090476,0.001152159913020988,30,500,0
auc_c,0.785087466762358,0.019952454275348447,0.744339118960204,0.8258358145645119,30,500,0
auc_d,0.7849267986958852,0.022756136570101206,0.7384525677669382,0.8314010296248322,30,500,0
auc_delta_d_minus_c,-0.00016066806647274667,0.00681202485641507,-0.014072678802368638,0.013751342669423145,30,500,0
calibration_intercept_d,0.0024704243324506466,0.01896647769530388,-0.036264290657720244,0.04120513932262154,30,500,0
calibration_slope_d,1.0412311250013755,0.1147439290287389,0.806892759218198,1.275569490784553,30,500,0
brier_delta_d_minus_c_train_2015_2016_test_2017_2018,-0.0007750202501335679,0.0012148564491258481,-0.0032560881145432133,0.0017060476142760775,30,500,0
auc_delta_d_minus_c_train_2015_2016_test_2017_2018,-0.009048636305211355,0.011259695414195163,-0.03204400211596349,0.013946729505540784,30,500,0
brier_delta_d_minus_c_train_2017_2018_test_2015_2016,-0.001168569141685033,0.0013570389651899619,-0.0039400124424200265,0.0016028741590499605,30,500,0
auc_delta_d_minus_c_train_2017_2018_test_2015_2016,0.009397241039440618,0.007977120802496263,-0.006894213056085126,0.025688695134966362,30,500,0
